student_id,true_lambda,true_hazard
S00000,0.11539890229677298,0.2441165657734954
S00001,0.07001655605172934,0.10577577513342076
S00002,0.05150344419461015,0.04601881125550869
S00003,0.12452828712141212,0.026652993366668234
S00004,0.07918724066517083,0.04779282138608847
S00005,0.08559173786691981,0.04055709155887228
S00006,0.09650841942796845,0.22091999159237716
S00007,0.07190525788711569,0.050942785080974294
S00008,0.07451069578592828,0.2847177703954385
S00009,0.19376823576739632,0.2349650733094624
S00010,0.10353651038141751,0.043373497212242214
S00011,0.11375193423999998,0.1068745458309649
S00012,0.09866404574998083,0.03555523001456782
S00013,0.1922130683493872,0.22636194487020497
S00014,0.1952970731807475,0.012294702818893206
S00015,0.15244587902555534,0.29469010275135543
S00016,0.09519928315818489,0.09153314626697694
S00017,0.03287837619361356,0.048151097700725454
S00018,0.1196279669053695,0.027534744147202896
S00019,0.07366805714087249,0.25935412662369023
S00020,0.10574185327266478,0.024034096272837004
S00021,0.05796359743827492,0.055281679257417914
S00022,0.15986872969501464,0.03607376951644367
S00023,0.11308577180647031,0.06891908666625925
S00024,0.07861164477162447,0.08256292329360473
S00025,0.1935689673160473,0.032628625696393736
S00026,0.1393034517457286,0.09952040132087682
S00027,0.06946852195239722,0.07957319185755103
S00028,0.13069016883705095,0.03948944814213726
S00029,0.12776131378584424,0.202052993874446
S00030,0.14078839381975683,0.09675360108293797
S00031,0.09059584496449787,0.021996602473687663
S00032,0.11897138509124044,0.051686164844686286
S00033,0.05966915278721589,0.02113470617076372
S00034,0.03976064915941055,0.03030434455518516
S00035,0.10667790438826663,0.13911664505416096
S00036,0.0949584597537781,0.07558061639041358
S00037,0.10975769320039518,0.11177618757743615
S00038,0.07433964417558914,0.058333021244639495
S00039,0.0709386332678014,0.0871050764551043
S00040,0.05925292720682316,0.10659616922467877
S00041,0.07392503954281258,0.010893375395828634
S00042,0.13303847620846765,0.11982651504949605
S00043,0.05431948482707601,0.03721078444270025
S00044,0.10644454567111908,0.23832525551813613
S00045,0.042191427467609184,0.07185184274662788
S00046,0.09399446156537491,0.019713445218881607
S00047,0.08633359197619013,0.042193489037793096
S00048,0.14612701169041484,0.014577586443475204
S00049,0.03152707664296195,0.03456094036718251
S00050,0.07989816649572991,0.07886694879013771
S00051,0.1054488955452078,0.0640683061740584
